Units (9),Unit Code,Start Date,End Date,Learning Mode,Status
"Apply project scope management techniques","BSBPMG420","Combination","2023-05-03","2023-06-07","Competent"
"Implement and monitor environmentally sustainable work practices","BSBSUS411","Combination","2023-12-11","2024-01-14","Incomplete"
"Apply project human resources management approaches","BSBPMG424","Combination","2023-08-21","2023-09-25","Incomplete"
"Apply project time management techniques","BSBPMG421","Combination","2023-05-29","2023-07-03","Incomplete"
"Apply project procurement procedures","BSBPMG427","Combination","2023-10-16","2023-11-20","Incomplete"
"Apply project quality management techniques","BSBPMG422","Combination","2023-06-26","2023-07-31","Incomplete"
"Apply project cost management techniques","BSBPMG423","Combination","2023-07-24","2023-08-28","Incomplete"
"Apply project information management and communications techniques","BSBPMG425","Combination","2023-11-13","2023-12-18","Incomplete"
"Apply project risk management techniques","BSBPMG426","Combination","2023-09-18","2023-10-23","Incomplete"
